1,Beck,Beck@illinois.edu,Marquis,Beck,Undergrad
2,Brady,Brady@illinois.edu,Chace,Brady,Undergrad
3,Avery,Avery@illinois.edu,Tobias,Avery,Undergrad
4,Fitzpatrick,Fitzpatrick@illinois.edu,Kane,Fitzpatrick,Undergrad
5,Gibbs,Gibbs@illinois.edu,Bronson,Gibbs,Undergrad
6,White,White@illinois.edu,Calvin,White,Undergrad
7,Becker,Becker@illinois.edu,Luke,Becker,Undergrad
8,Watson,Watson@illinois.edu,Jaden,Watson,Undergrad
9,Villarreal,Villarreal@illinois.edu,Alfred,Villarreal,Undergrad
10,Beard,Beard@illinois.edu,Kylan,Beard,Undergrad
11,Mckinney,Mckinney@illinois.edu,Greyson,Mckinney,Undergrad
12,Russell,Russell@illinois.edu,Leland,Russell,Undergrad
13,Dawson,Dawson@illinois.edu,Justin,Dawson,Undergrad
14,Hayes,Hayes@illinois.edu,Avery,Hayes,Undergrad
15,Herring,Herring@illinois.edu,Kristopher,Herring,Undergrad
16,Riggs,Riggs@illinois.edu,Jacob,Riggs,Undergrad
17,Ali,Ali@illinois.edu,Deshawn,Ali,Undergrad
18,Sullivan,Sullivan@illinois.edu,Abel,Sullivan,Undergrad
19,Strong,Strong@illinois.edu,Johnny,Strong,Undergrad
20,Merritt,Merritt@illinois.edu,Zander,Merritt,Undergrad
21,Ferrell,Ferrell@illinois.edu,Jayvion,Ferrell,Undergrad
22,Glass,Glass@illinois.edu,Maverick,Glass,Undergrad
23,Holder,Holder@illinois.edu,Lewis,Holder,Undergrad
24,Peters,Peters@illinois.edu,Tyrone,Peters,Undergrad
25,Dudley,Dudley@illinois.edu,Lawson,Dudley,Undergrad
26,Mclean,Mclean@illinois.edu,Steven,Mclean,Undergrad
27,Gonzalez,Gonzalez@illinois.edu,Jaquan,Gonzalez,Undergrad
28,Alexander,Alexander@illinois.edu,Louis,Alexander,Undergrad
29,Townsend,Townsend@illinois.edu,Dereon,Townsend,Undergrad
30,Moody,Moody@illinois.edu,Rory,Moody,Undergrad
31,Levy,Levy@illinois.edu,Kadin,Levy,Undergrad
32,Medina,Medina@illinois.edu,Zachariah,Medina,Undergrad
33,Bonilla,Bonilla@illinois.edu,Ayaan,Bonilla,Undergrad
34,Potts,Potts@illinois.edu,Clinton,Potts,Undergrad
35,Ramirez,Ramirez@illinois.edu,Atticus,Ramirez,Undergrad
36,Hancock,Hancock@illinois.edu,Dante,Hancock,Undergrad
37,Reed,Reed@illinois.edu,Darrell,Reed,Undergrad
38,Woods,Woods@illinois.edu,Jamal,Woods,Undergrad
39,Ellison,Ellison@illinois.edu,Rodrigo,Ellison,Undergrad
40,Mccoy,Mccoy@illinois.edu,Julius,Mccoy,Undergrad
41,Patrick,Patrick@illinois.edu,Ramiro,Patrick,Undergrad
42,Johns,Johns@illinois.edu,Maxwell,Johns,Undergrad
43,Stewart,Stewart@illinois.edu,Nathan,Stewart,Undergrad
44,Brown,Brown@illinois.edu,Isiah,Brown,Undergrad
45,Luna,Luna@illinois.edu,Aiden,Luna,Undergrad
46,Short,Short@illinois.edu,Cyrus,Short,Undergrad
47,Walter,Walter@illinois.edu,Kason,Walter,Undergrad
48,Roy,Roy@illinois.edu,Isaac,Roy,Undergrad
49,Sharp,Sharp@illinois.edu,Ari,Sharp,Undergrad
50,Campbell,Campbell@illinois.edu,Tony,Campbell,Undergrad
51,Cameron,Cameron@illinois.edu,Dax,Cameron,Undergrad
52,Cochran,Cochran@illinois.edu,Jude,Cochran,Undergrad
53,Preston,Preston@illinois.edu,Silas,Preston,Undergrad
54,Rosales,Rosales@illinois.edu,Tyson,Rosales,Undergrad
55,Glenn,Glenn@illinois.edu,Seth,Glenn,Undergrad
56,Lynch,Lynch@illinois.edu,Rodney,Lynch,Undergrad
57,Cox,Cox@illinois.edu,Sonny,Cox,Undergrad
58,Stanton,Stanton@illinois.edu,Trace,Stanton,Undergrad
59,Cobb,Cobb@illinois.edu,Jordan,Cobb,Undergrad
60,Bean,Bean@illinois.edu,Harry,Bean,Undergrad
61,Fry,Fry@illinois.edu,Tyree,Fry,Undergrad
62,Larsen,Larsen@illinois.edu,Drake,Larsen,Undergrad
63,Santiago,Santiago@illinois.edu,Steve,Santiago,Undergrad
64,Small,Small@illinois.edu,Hugh,Small,Undergrad
65,Russo,Russo@illinois.edu,Alijah,Russo,Undergrad
66,Diaz,Diaz@illinois.edu,Brodie,Diaz,Undergrad
67,Norman,Norman@illinois.edu,Nico,Norman,Undergrad
68,Webb,Webb@illinois.edu,Damari,Webb,Undergrad
69,Jennings,Jennings@illinois.edu,Dillan,Jennings,Undergrad
70,Rasmussen,Rasmussen@illinois.edu,Santiago,Rasmussen,Undergrad
71,Fischer,Fischer@illinois.edu,Brooks,Fischer,Undergrad
72,Ryan,Ryan@illinois.edu,Nathaniel,Ryan,Undergrad
73,Conley,Conley@illinois.edu,Brody,Conley,Undergrad
74,Allison,Allison@illinois.edu,Conner,Allison,Undergrad
75,Hale,Hale@illinois.edu,Terrell,Hale,Undergrad
76,Serrano,Serrano@illinois.edu,Mike,Serrano,Undergrad
77,Ballard,Ballard@illinois.edu,Korbin,Ballard,Undergrad
78,Clayton,Clayton@illinois.edu,Peter,Clayton,Undergrad
79,Coffey,Coffey@illinois.edu,Jaxon,Coffey,Undergrad
80,Fitzgerald,Fitzgerald@illinois.edu,Carter,Fitzgerald,Undergrad
81,Norris,Norris@illinois.edu,Layton,Norris,Undergrad
82,Mosley,Mosley@illinois.edu,Brenden,Mosley,Undergrad
83,Choi,Choi@illinois.edu,Dean,Choi,Undergrad
84,Carroll,Carroll@illinois.edu,Rayan,Carroll,Undergrad
85,Gentry,Gentry@illinois.edu,Francisco,Gentry,Undergrad
86,Hull,Hull@illinois.edu,Yandel,Hull,Undergrad
87,Andersen,Andersen@illinois.edu,Jacoby,Andersen,Undergrad
88,Shea,Shea@illinois.edu,Aydin,Shea,Undergrad
89,Bennett,Bennett@illinois.edu,Mohammad,Bennett,Undergrad
90,Velasquez,Velasquez@illinois.edu,Vicente,Velasquez,Undergrad
91,Clements,Clements@illinois.edu,Martin,Clements,Undergrad
92,Hooper,Hooper@illinois.edu,Callum,Hooper,Undergrad
93,Schultz,Schultz@illinois.edu,Landyn,Schultz,Undergrad
94,Stein,Stein@illinois.edu,Ruben,Stein,Undergrad
95,Lester,Lester@illinois.edu,Skyler,Lester,Undergrad
96,Wolfe,Wolfe@illinois.edu,Tomas,Wolfe,Undergrad
97,Harmon,Harmon@illinois.edu,Jaxson,Harmon,Undergrad
98,Lara,Lara@illinois.edu,Nickolas,Lara,Undergrad
99,Moon,Moon@illinois.edu,Jessie,Moon,Undergrad
100,Powers,Powers@illinois.edu,Paul,Powers,Undergrad
101,Barrett,Barrett@illinois.edu,Elvis,Barrett,Undergrad
102,Grimes,Grimes@illinois.edu,Uriel,Grimes,Undergrad
103,Rogers,Rogers@illinois.edu,Jean,Rogers,Undergrad
104,Kaiser,Kaiser@illinois.edu,Chaz,Kaiser,Undergrad
105,Stephenson,Stephenson@illinois.edu,Sterling,Stephenson,Undergrad
106,Mccarty,Mccarty@illinois.edu,Roland,Mccarty,Undergrad
107,Raymond,Raymond@illinois.edu,Tyrese,Raymond,Undergrad
108,Bentley,Bentley@illinois.edu,Beau,Bentley,Undergrad
109,Crawford,Crawford@illinois.edu,Maddox,Crawford,Undergrad
110,Richmond,Richmond@illinois.edu,Koen,Richmond,Undergrad
111,Gaines,Gaines@illinois.edu,Henry,Gaines,Undergrad
112,Hess,Hess@illinois.edu,Aden,Hess,Undergrad
113,Murray,Murray@illinois.edu,Asher,Murray,Undergrad
114,Foster,Foster@illinois.edu,Colin,Foster,Undergrad
115,Andrews,Andrews@illinois.edu,Richard,Andrews,Undergrad
116,Davila,Davila@illinois.edu,Ernest,Davila,Undergrad
117,Conner,Conner@illinois.edu,Romeo,Conner,Undergrad
118,Le,Le@illinois.edu,Jace,Le,Undergrad
119,Warren,Warren@illinois.edu,Mohamed,Warren,Undergrad
120,Fuller,Fuller@illinois.edu,Cody,Fuller,Undergrad
121,Bush,Bush@illinois.edu,Simeon,Bush,Undergrad
122,Blevins,Blevins@illinois.edu,Blake,Blevins,Undergrad
123,Sutton,Sutton@illinois.edu,Jovanny,Sutton,Undergrad
124,Nelson,Nelson@illinois.edu,Vance,Nelson,Undergrad
125,Everett,Everett@illinois.edu,Johan,Everett,Undergrad
126,Walters,Walters@illinois.edu,Keegan,Walters,Undergrad
127,Skinner,Skinner@illinois.edu,Demetrius,Skinner,Undergrad
128,Jacobs,Jacobs@illinois.edu,Troy,Jacobs,Undergrad
129,Malone,Malone@illinois.edu,Mitchell,Malone,Undergrad
130,Pitts,Pitts@illinois.edu,Wade,Pitts,Undergrad
131,Long,Long@illinois.edu,Immanuel,Long,Undergrad
132,Finley,Finley@illinois.edu,Braxton,Finley,Undergrad
133,Krause,Krause@illinois.edu,Dangelo,Krause,Undergrad
134,Shepard,Shepard@illinois.edu,London,Shepard,Undergrad
135,Bowman,Bowman@illinois.edu,Peyton,Bowman,Undergrad
136,Neal,Neal@illinois.edu,Darryl,Neal,Undergrad
137,Grant,Grant@illinois.edu,Terry,Grant,Undergrad
138,George,George@illinois.edu,Tripp,George,Undergrad
139,Harrell,Harrell@illinois.edu,Shane,Harrell,Undergrad
140,Weiss,Weiss@illinois.edu,Bruce,Weiss,Undergrad
141,Bird,Bird@illinois.edu,Lee,Bird,Undergrad
142,Gardner,Gardner@illinois.edu,Graham,Gardner,Undergrad
143,Hendricks,Hendricks@illinois.edu,Ayden,Hendricks,Undergrad
144,Montoya,Montoya@illinois.edu,Asa,Montoya,Undergrad
145,Yang,Yang@illinois.edu,Jadon,Yang,Undergrad
146,Sexton,Sexton@illinois.edu,Marshall,Sexton,Undergrad
147,Shaw,Shaw@illinois.edu,Tommy,Shaw,Undergrad
148,Bass,Bass@illinois.edu,Zackary,Bass,Undergrad
149,Delacruz,Delacruz@illinois.edu,Ezra,Delacruz,Undergrad
150,Tran,Tran@illinois.edu,Devin,Tran,Undergrad
151,Melendez,Melendez@illinois.edu,Ryann,Melendez,Undergrad
152,Rivers,Rivers@illinois.edu,Leilani,Rivers,Undergrad
153,Brooks,Brooks@illinois.edu,Ruth,Brooks,Undergrad
154,Ochoa,Ochoa@illinois.edu,Jaylen,Ochoa,Undergrad
155,Shepherd,Shepherd@illinois.edu,Piper,Shepherd,Undergrad
156,Gregory,Gregory@illinois.edu,Violet,Gregory,Undergrad
157,Jones,Jones@illinois.edu,Macie,Jones,Undergrad
158,Hurst,Hurst@illinois.edu,Haley,Hurst,Undergrad
159,Boyd,Boyd@illinois.edu,Jazlynn,Boyd,Undergrad
